timestamp_utc,attack_uid,attack_id,mitre_ics,component,event_type,source
2026-05-02T18:15:32Z,D-T0809-9,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:15:50Z,D-T0814-9,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:16:09Z,D-T0860-9,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:16:52Z,D-T0809-10,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:17:11Z,D-T0814-10,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:17:29Z,D-T0860-10,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:18:14Z,D-T0809-11,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:18:32Z,D-T0814-11,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:18:51Z,D-T0860-11,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:19:36Z,D-T0809-12,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:19:54Z,D-T0814-12,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:20:13Z,D-T0860-12,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:21:04Z,D-T0809-13,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:21:23Z,D-T0814-13,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:21:42Z,D-T0860-13,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:22:26Z,D-T0809-14,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:22:49Z,D-T0814-14,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:23:08Z,D-T0860-14,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:23:52Z,D-T0809-15,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:24:10Z,D-T0814-15,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:24:28Z,D-T0860-15,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:25:11Z,D-T0809-16,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:25:29Z,D-T0814-16,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:25:47Z,D-T0860-16,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:26:30Z,D-T0809-17,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:26:48Z,D-T0814-17,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:27:06Z,D-T0860-17,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:27:50Z,D-T0809-18,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:28:08Z,D-T0814-18,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:28:26Z,D-T0860-18,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:29:09Z,D-T0809-19,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
2026-05-02T18:29:25Z,D-T0814-19,T0814,T0814,telemetry-api,telemetry_manipulation,wazuh_localfile_json
2026-05-02T18:29:42Z,D-T0860-19,T0860,T0860,vulnerable-app,availability_degradation_http_flood,wazuh_localfile_json
2026-05-02T18:30:24Z,D-T0809-20,T0809,T0809,mosquitto,unauthorized_command_message,wazuh_localfile_json
