attack_uid,target_host,host,item,key,itemid,value_type,samples,min_value,avg_value,max_value,last_value,first_clock,last_clock,first_utc,last_utc,source
D-T0809-13,mqtt-broker,vulnerable-app,vulnerable-app latency seconds,"net.tcp.service.perf[http,10.10.0.154,8080]",50745,0,92,0.0001,0.000173,0.0002732276916503906,0.0001659393310546875,1777751210,1777751665,2026-05-02T19:46:50Z,2026-05-02T19:54:25Z,history.get
D-T0814-13,telemetry-api,health-app,health-app availability,"net.tcp.service[http,10.10.0.152,8080]",50740,3,91,1.0,1.0,1.0,1.0,1777751215,1777751665,2026-05-02T19:46:55Z,2026-05-02T19:54:25Z,history.get
D-T0814-13,telemetry-api,health-app,health-app latency seconds,"net.tcp.service.perf[http,10.10.0.152,8080]",50741,0,90,0.00012183189392089844,0.000204,0.00034308433532714844,0.00013685226440429688,1777751216,1777751661,2026-05-02T19:46:56Z,2026-05-02T19:54:21Z,history.get
D-T0814-13,telemetry-api,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,90,1.0,1.0,1.0,1.0,1777751218,1777751663,2026-05-02T19:46:58Z,2026-05-02T19:54:23Z,history.get
D-T0814-13,telemetry-api,mqtt-broker,mqtt-broker latency seconds,"net.tcp.service.perf[tcp,10.10.0.151,1883]",50739,0,90,0.0001,0.000172,0.0003273487091064453,0.00012993812561035156,1777751219,1777751664,2026-05-02T19:46:59Z,2026-05-02T19:54:24Z,history.get
D-T0814-13,telemetry-api,telemetry-api,telemetry-api availability,"net.tcp.service[http,10.10.0.153,8080]",50742,3,90,1.0,1.0,1.0,1.0,1777751217,1777751662,2026-05-02T19:46:57Z,2026-05-02T19:54:22Z,history.get
D-T0814-13,telemetry-api,telemetry-api,telemetry-api latency seconds,"net.tcp.service.perf[http,10.10.0.153,8080]",50743,0,90,0.0001,0.000162,0.0003979206085205078,0.0001385211944580078,1777751218,1777751663,2026-05-02T19:46:58Z,2026-05-02T19:54:23Z,history.get
D-T0814-13,telemetry-api,vulnerable-app,vulnerable-app availability,"net.tcp.service[http,10.10.0.154,8080]",50744,3,90,1.0,1.0,1.0,1.0,1777751219,1777751664,2026-05-02T19:46:59Z,2026-05-02T19:54:24Z,history.get
D-T0814-13,telemetry-api,vulnerable-app,vulnerable-app latency seconds,"net.tcp.service.perf[http,10.10.0.154,8080]",50745,0,91,0.0001,0.000173,0.0002732276916503906,0.0001659393310546875,1777751215,1777751665,2026-05-02T19:46:55Z,2026-05-02T19:54:25Z,history.get
D-T0860-13,vulnerable-app,health-app,health-app availability,"net.tcp.service[http,10.10.0.152,8080]",50740,3,89,1.0,1.0,1.0,1.0,1777751225,1777751665,2026-05-02T19:47:05Z,2026-05-02T19:54:25Z,history.get
D-T0860-13,vulnerable-app,health-app,health-app latency seconds,"net.tcp.service.perf[http,10.10.0.152,8080]",50741,0,89,0.00012183189392089844,0.000202,0.00034308433532714844,0.00014472007751464844,1777751226,1777751666,2026-05-02T19:47:06Z,2026-05-02T19:54:26Z,history.get
D-T0860-13,vulnerable-app,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,89,1.0,1.0,1.0,1.0,1777751223,1777751663,2026-05-02T19:47:03Z,2026-05-02T19:54:23Z,history.get
D-T0860-13,vulnerable-app,mqtt-broker,mqtt-broker latency seconds,"net.tcp.service.perf[tcp,10.10.0.151,1883]",50739,0,89,0.0001,0.000172,0.0003273487091064453,0.00012993812561035156,1777751224,1777751664,2026-05-02T19:47:04Z,2026-05-02T19:54:24Z,history.get
D-T0860-13,vulnerable-app,telemetry-api,telemetry-api availability,"net.tcp.service[http,10.10.0.153,8080]",50742,3,89,1.0,1.0,1.0,1.0,1777751222,1777751662,2026-05-02T19:47:02Z,2026-05-02T19:54:22Z,history.get
D-T0860-13,vulnerable-app,telemetry-api,telemetry-api latency seconds,"net.tcp.service.perf[http,10.10.0.153,8080]",50743,0,89,0.0001,0.000162,0.0003979206085205078,0.0001385211944580078,1777751223,1777751663,2026-05-02T19:47:03Z,2026-05-02T19:54:23Z,history.get
D-T0860-13,vulnerable-app,vulnerable-app,vulnerable-app availability,"net.tcp.service[http,10.10.0.154,8080]",50744,3,89,1.0,1.0,1.0,1.0,1777751224,1777751664,2026-05-02T19:47:04Z,2026-05-02T19:54:24Z,history.get
D-T0860-13,vulnerable-app,vulnerable-app,vulnerable-app latency seconds,"net.tcp.service.perf[http,10.10.0.154,8080]",50745,0,89,0.0001,0.000172,0.0002732276916503906,0.0001659393310546875,1777751225,1777751665,2026-05-02T19:47:05Z,2026-05-02T19:54:25Z,history.get
D-T0809-14,mqtt-broker,health-app,health-app availability,"net.tcp.service[http,10.10.0.152,8080]",50740,3,87,1.0,1.0,1.0,1.0,1777751235,1777751665,2026-05-02T19:47:15Z,2026-05-02T19:54:25Z,history.get
D-T0809-14,mqtt-broker,health-app,health-app latency seconds,"net.tcp.service.perf[http,10.10.0.152,8080]",50741,0,87,0.00012183189392089844,0.000201,0.00034308433532714844,0.00014472007751464844,1777751236,1777751666,2026-05-02T19:47:16Z,2026-05-02T19:54:26Z,history.get
D-T0809-14,mqtt-broker,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,86,1.0,1.0,1.0,1.0,1777751238,1777751663,2026-05-02T19:47:18Z,2026-05-02T19:54:23Z,history.get
D-T0809-14,mqtt-broker,mqtt-broker,mqtt-broker latency seconds,"net.tcp.service.perf[tcp,10.10.0.151,1883]",50739,0,86,0.0001,0.00017,0.0003273487091064453,0.00012993812561035156,1777751239,1777751664,2026-05-02T19:47:19Z,2026-05-02T19:54:24Z,history.get
D-T0809-14,mqtt-broker,telemetry-api,telemetry-api availability,"net.tcp.service[http,10.10.0.153,8080]",50742,3,86,1.0,1.0,1.0,1.0,1777751237,1777751662,2026-05-02T19:47:17Z,2026-05-02T19:54:22Z,history.get
D-T0809-14,mqtt-broker,telemetry-api,telemetry-api latency seconds,"net.tcp.service.perf[http,10.10.0.153,8080]",50743,0,86,0.0001,0.000162,0.0003979206085205078,0.0001385211944580078,1777751238,1777751663,2026-05-02T19:47:18Z,2026-05-02T19:54:23Z,history.get
D-T0809-14,mqtt-broker,vulnerable-app,vulnerable-app availability,"net.tcp.service[http,10.10.0.154,8080]",50744,3,86,1.0,1.0,1.0,1.0,1777751239,1777751664,2026-05-02T19:47:19Z,2026-05-02T19:54:24Z,history.get
D-T0809-14,mqtt-broker,vulnerable-app,vulnerable-app latency seconds,"net.tcp.service.perf[http,10.10.0.154,8080]",50745,0,87,0.0001,0.000171,0.0002732276916503906,0.0001659393310546875,1777751235,1777751665,2026-05-02T19:47:15Z,2026-05-02T19:54:25Z,history.get
D-T0814-14,telemetry-api,health-app,health-app availability,"net.tcp.service[http,10.10.0.152,8080]",50740,3,85,1.0,1.0,1.0,1.0,1777751245,1777751665,2026-05-02T19:47:25Z,2026-05-02T19:54:25Z,history.get
D-T0814-14,telemetry-api,health-app,health-app latency seconds,"net.tcp.service.perf[http,10.10.0.152,8080]",50741,0,85,0.00012183189392089844,0.000199,0.00034308433532714844,0.00014472007751464844,1777751246,1777751666,2026-05-02T19:47:26Z,2026-05-02T19:54:26Z,history.get
D-T0814-14,telemetry-api,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,85,1.0,1.0,1.0,1.0,1777751243,1777751663,2026-05-02T19:47:23Z,2026-05-02T19:54:23Z,history.get
D-T0814-14,telemetry-api,mqtt-broker,mqtt-broker latency seconds,"net.tcp.service.perf[tcp,10.10.0.151,1883]",50739,0,85,0.0001,0.000169,0.0003273487091064453,0.00012993812561035156,1777751244,1777751664,2026-05-02T19:47:24Z,2026-05-02T19:54:24Z,history.get
D-T0814-14,telemetry-api,telemetry-api,telemetry-api availability,"net.tcp.service[http,10.10.0.153,8080]",50742,3,84,1.0,1.0,1.0,1.0,1777751247,1777751662,2026-05-02T19:47:27Z,2026-05-02T19:54:22Z,history.get
D-T0814-14,telemetry-api,telemetry-api,telemetry-api latency seconds,"net.tcp.service.perf[http,10.10.0.153,8080]",50743,0,85,0.0001,0.000162,0.0003979206085205078,0.0001385211944580078,1777751243,1777751663,2026-05-02T19:47:23Z,2026-05-02T19:54:23Z,history.get
D-T0814-14,telemetry-api,vulnerable-app,vulnerable-app availability,"net.tcp.service[http,10.10.0.154,8080]",50744,3,85,1.0,1.0,1.0,1.0,1777751244,1777751664,2026-05-02T19:47:24Z,2026-05-02T19:54:24Z,history.get
D-T0814-14,telemetry-api,vulnerable-app,vulnerable-app latency seconds,"net.tcp.service.perf[http,10.10.0.154,8080]",50745,0,85,0.0001,0.00017,0.0002732276916503906,0.0001659393310546875,1777751245,1777751665,2026-05-02T19:47:25Z,2026-05-02T19:54:25Z,history.get
D-T0860-14,vulnerable-app,health-app,health-app availability,"net.tcp.service[http,10.10.0.152,8080]",50740,3,84,1.0,1.0,1.0,1.0,1777751250,1777751665,2026-05-02T19:47:30Z,2026-05-02T19:54:25Z,history.get
D-T0860-14,vulnerable-app,health-app,health-app latency seconds,"net.tcp.service.perf[http,10.10.0.152,8080]",50741,0,84,0.00012183189392089844,0.0002,0.00034308433532714844,0.00014472007751464844,1777751251,1777751666,2026-05-02T19:47:31Z,2026-05-02T19:54:26Z,history.get
D-T0860-14,vulnerable-app,mqtt-broker,mqtt-broker availability,"net.tcp.service[tcp,10.10.0.151,1883]",50738,3,83,1.0,1.0,1.0,1.0,1777751253,1777751663,2026-05-02T19:47:33Z,2026-05-02T19:54:23Z,history.get
D-T0860-14,vulnerable-app,mqtt-broker,mqtt-broker latency seconds,"net.tcp.service.perf[tcp,10.10.0.151,1883]",50739,0,84,0.0001,0.00017,0.0003273487091064453,0.00012993812561035156,1777751249,1777751664,2026-05-02T19:47:29Z,2026-05-02T19:54:24Z,history.get
D-T0860-14,vulnerable-app,telemetry-api,telemetry-api availability,"net.tcp.service[http,10.10.0.153,8080]",50742,3,83,1.0,1.0,1.0,1.0,1777751252,1777751662,2026-05-02T19:47:32Z,2026-05-02T19:54:22Z,history.get
D-T0860-14,vulnerable-app,telemetry-api,telemetry-api latency seconds,"net.tcp.service.perf[http,10.10.0.153,8080]",50743,0,83,0.0001,0.000162,0.0003979206085205078,0.0001385211944580078,1777751253,1777751663,2026-05-02T19:47:33Z,2026-05-02T19:54:23Z,history.get
D-T0860-14,vulnerable-app,vulnerable-app,vulnerable-app availability,"net.tcp.service[http,10.10.0.154,8080]",50744,3,84,1.0,1.0,1.0,1.0,1777751249,1777751664,2026-05-02T19:47:29Z,2026-05-02T19:54:24Z,history.get
D-T0860-14,vulnerable-app,vulnerable-app,vulnerable-app latency seconds,"net.tcp.service.perf[http,10.10.0.154,8080]",50745,0,84,0.0001,0.000169,0.0002732276916503906,0.0001659393310546875,1777751250,1777751665,2026-05-02T19:47:30Z,2026-05-02T19:54:25Z,history.get
D-T0809-15,mqtt-broker,health-app,health-app availability,"net.tcp.service[http,10.10.0.152,8080]",50740,3,81,1.0,1.0,1.0,1.0,1777751265,1777751665,2026-05-02T19:47:45Z,2026-05-02T19:54:25Z,history.get
