scenario,attack_uid,iteration,attack_id,mitre_ics,technique,target_component,start_utc,end_utc,wazuh_detected,wazuh_event_utc,wazuh_event_delta_s,zabbix_real_sampled,nearest_zabbix_sample_utc,nearest_zabbix_sample_delta_s,nearest_zabbix_host,nearest_zabbix_item,nearest_zabbix_value,correlation_window_seconds,strong_temporal_correlation,correlation_strength
SCENARIO_D,D-T0814-4,4,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:44:31Z,2026-05-02T19:44:33Z,YES,2026-05-02T19:44:31Z,0.0,YES,2026-05-02T19:44:31Z,0.0,health-app,health-app latency seconds,0.00016427040100097656,120.0,YES,strong
SCENARIO_D,D-T0814-5,5,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:45:00Z,2026-05-02T19:45:03Z,YES,2026-05-02T19:45:00Z,0.0,YES,2026-05-02T19:45:00Z,0.0,health-app,health-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0814-6,6,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:45:31Z,2026-05-02T19:45:35Z,YES,2026-05-02T19:45:31Z,0.0,YES,2026-05-02T19:45:31Z,0.0,health-app,health-app latency seconds,0.00021958351135253906,120.0,YES,strong
SCENARIO_D,D-T0814-7,7,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:46:01Z,2026-05-02T19:46:03Z,YES,2026-05-02T19:46:01Z,0.0,YES,2026-05-02T19:46:01Z,0.0,health-app,health-app latency seconds,0.00012445449829101562,120.0,YES,strong
SCENARIO_D,D-T0814-8,8,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:46:28Z,2026-05-02T19:46:30Z,YES,2026-05-02T19:46:28Z,0.0,YES,2026-05-02T19:46:28Z,0.0,telemetry-api,telemetry-api latency seconds,0.00011968612670898438,120.0,YES,strong
SCENARIO_D,D-T0814-9,9,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:46:56Z,2026-05-02T19:46:58Z,YES,2026-05-02T19:46:56Z,0.0,YES,2026-05-02T19:46:56Z,0.0,health-app,health-app latency seconds,0.0002396106719970703,120.0,YES,strong
SCENARIO_D,D-T0814-10,10,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:47:25Z,2026-05-02T19:47:27Z,YES,2026-05-02T19:47:25Z,0.0,YES,2026-05-02T19:47:25Z,0.0,health-app,health-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0814-11,11,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:47:56Z,2026-05-02T19:47:58Z,YES,2026-05-02T19:47:56Z,0.0,YES,2026-05-02T19:47:56Z,0.0,health-app,health-app latency seconds,0.00015044212341308594,120.0,YES,strong
SCENARIO_D,D-T0814-12,12,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:48:25Z,2026-05-02T19:48:28Z,YES,2026-05-02T19:48:25Z,0.0,YES,2026-05-02T19:48:25Z,0.0,health-app,health-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0814-13,13,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:48:55Z,2026-05-02T19:48:57Z,YES,2026-05-02T19:48:55Z,0.0,YES,2026-05-02T19:48:55Z,0.0,health-app,health-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0814-14,14,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:49:23Z,2026-05-02T19:49:24Z,YES,2026-05-02T19:49:23Z,0.0,YES,2026-05-02T19:49:23Z,0.0,telemetry-api,telemetry-api latency seconds,0.00012612342834472656,120.0,YES,strong
SCENARIO_D,D-T0814-15,15,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:49:48Z,2026-05-02T19:49:51Z,YES,2026-05-02T19:49:48Z,0.0,YES,2026-05-02T19:49:48Z,0.0,telemetry-api,telemetry-api latency seconds,0.00012969970703125,120.0,YES,strong
SCENARIO_D,D-T0814-16,16,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:50:17Z,2026-05-02T19:50:19Z,YES,2026-05-02T19:50:17Z,0.0,YES,2026-05-02T19:50:17Z,0.0,telemetry-api,telemetry-api availability,1,120.0,YES,strong
SCENARIO_D,D-T0814-17,17,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:50:45Z,2026-05-02T19:50:46Z,YES,2026-05-02T19:50:45Z,0.0,YES,2026-05-02T19:50:45Z,0.0,health-app,health-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0814-18,18,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:51:12Z,2026-05-02T19:51:13Z,YES,2026-05-02T19:51:12Z,0.0,YES,2026-05-02T19:51:12Z,0.0,telemetry-api,telemetry-api availability,1,120.0,YES,strong
SCENARIO_D,D-T0814-19,19,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:51:39Z,2026-05-02T19:51:42Z,YES,2026-05-02T19:51:39Z,0.0,YES,2026-05-02T19:51:38Z,1.0,telemetry-api,telemetry-api latency seconds,0.0001246929168701172,120.0,YES,strong
SCENARIO_D,D-T0814-20,20,T0814,T0814,Data Manipulation,telemetry-api,2026-05-02T19:52:09Z,2026-05-02T19:52:11Z,YES,2026-05-02T19:52:09Z,0.0,YES,2026-05-02T19:52:08Z,1.0,telemetry-api,telemetry-api latency seconds,0.00021004676818847656,120.0,YES,strong
SCENARIO_D,D-T0860-1,1,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:43:18Z,2026-05-02T19:43:21Z,YES,2026-05-02T19:43:18Z,0.0,YES,2026-05-02T19:43:19Z,1.0,vulnerable-app,vulnerable-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0860-2,2,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:43:44Z,2026-05-02T19:43:48Z,YES,2026-05-02T19:43:44Z,0.0,YES,2026-05-02T19:43:44Z,0.0,vulnerable-app,vulnerable-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0860-3,3,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:44:11Z,2026-05-02T19:44:15Z,YES,2026-05-02T19:44:11Z,0.0,YES,2026-05-02T19:44:11Z,0.0,health-app,health-app latency seconds,0.00021076202392578125,120.0,YES,strong
SCENARIO_D,D-T0860-4,4,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:44:38Z,2026-05-02T19:44:43Z,YES,2026-05-02T19:44:38Z,0.0,YES,2026-05-02T19:44:39Z,1.0,vulnerable-app,vulnerable-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0860-5,5,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:45:08Z,2026-05-02T19:45:14Z,YES,2026-05-02T19:45:08Z,0.0,YES,2026-05-02T19:45:09Z,1.0,vulnerable-app,vulnerable-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0860-6,6,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:45:40Z,2026-05-02T19:45:44Z,YES,2026-05-02T19:45:40Z,0.0,YES,2026-05-02T19:45:40Z,0.0,vulnerable-app,vulnerable-app latency seconds,0.00015473365783691406,120.0,YES,strong
SCENARIO_D,D-T0860-7,7,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:46:08Z,2026-05-02T19:46:11Z,YES,2026-05-02T19:46:08Z,0.0,YES,2026-05-02T19:46:09Z,1.0,vulnerable-app,vulnerable-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0860-8,8,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:46:35Z,2026-05-02T19:46:39Z,YES,2026-05-02T19:46:35Z,0.0,YES,2026-05-02T19:46:35Z,0.0,vulnerable-app,vulnerable-app latency seconds,0.00018286705017089844,120.0,YES,strong
SCENARIO_D,D-T0860-9,9,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:47:03Z,2026-05-02T19:47:06Z,YES,2026-05-02T19:47:03Z,0.0,YES,2026-05-02T19:47:04Z,1.0,vulnerable-app,vulnerable-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0860-10,10,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:47:32Z,2026-05-02T19:47:38Z,YES,2026-05-02T19:47:32Z,0.0,YES,2026-05-02T19:47:31Z,1.0,health-app,health-app latency seconds,0.000164031982421875,120.0,YES,strong
SCENARIO_D,D-T0860-11,11,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:48:03Z,2026-05-02T19:48:07Z,YES,2026-05-02T19:48:03Z,0.0,YES,2026-05-02T19:48:04Z,1.0,vulnerable-app,vulnerable-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0860-12,12,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:48:33Z,2026-05-02T19:48:37Z,YES,2026-05-02T19:48:33Z,0.0,YES,2026-05-02T19:48:34Z,1.0,vulnerable-app,vulnerable-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0860-13,13,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:49:02Z,2026-05-02T19:49:05Z,YES,2026-05-02T19:49:02Z,0.0,YES,2026-05-02T19:49:01Z,1.0,health-app,health-app latency seconds,0.00020194053649902344,120.0,YES,strong
SCENARIO_D,D-T0860-14,14,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:49:29Z,2026-05-02T19:49:32Z,YES,2026-05-02T19:49:29Z,0.0,YES,2026-05-02T19:49:29Z,0.0,vulnerable-app,vulnerable-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0860-15,15,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:49:56Z,2026-05-02T19:49:59Z,YES,2026-05-02T19:49:56Z,0.0,YES,2026-05-02T19:49:56Z,0.0,health-app,health-app latency seconds,0.00022792816162109375,120.0,YES,strong
SCENARIO_D,D-T0860-16,16,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:50:24Z,2026-05-02T19:50:28Z,YES,2026-05-02T19:50:24Z,0.0,YES,2026-05-02T19:50:24Z,0.0,vulnerable-app,vulnerable-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0860-17,17,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:50:51Z,2026-05-02T19:50:55Z,YES,2026-05-02T19:50:51Z,0.0,YES,2026-05-02T19:50:51Z,0.0,health-app,health-app latency seconds,0.00022840499877929688,120.0,YES,strong
SCENARIO_D,D-T0860-18,18,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:51:18Z,2026-05-02T19:51:21Z,YES,2026-05-02T19:51:18Z,0.0,YES,2026-05-02T19:51:19Z,1.0,vulnerable-app,vulnerable-app availability,1,120.0,YES,strong
SCENARIO_D,D-T0860-19,19,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:51:47Z,2026-05-02T19:51:51Z,YES,2026-05-02T19:51:47Z,0.0,YES,2026-05-02T19:51:46Z,1.0,health-app,health-app latency seconds,0.0001819133758544922,120.0,YES,strong
SCENARIO_D,D-T0860-20,20,T0860,T0860,Denial of Service,vulnerable-app,2026-05-02T19:52:16Z,2026-05-02T19:52:20Z,YES,2026-05-02T19:52:16Z,0.0,YES,2026-05-02T19:52:16Z,0.0,health-app,health-app latency seconds,0.0001761913299560547,120.0,YES,strong
