timestamp_utc,scenario_id,execution_id,iteration,attack_id,technique_id,source,target,event_type,severity,metric_name,metric_value,unit,zabbix_itemid,zabbix_event_id,wazuh_alert_id,correlation_window_seconds,dataset_source,raw_file,raw_row_hash
2026-05-02T19:44:25Z,SCENARIO_D,D-T0809-4,4,T0809,T0809,wazuh_localfile_json,mosquitto,Unauthorized Command Message,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,f1b86334e912f6f2
2026-05-02T19:44:31Z,SCENARIO_D,D-T0814-4,4,T0814,T0814,wazuh_localfile_json,telemetry-api,Data Manipulation,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,6ab225c9bf1fdb37
2026-05-02T19:44:38Z,SCENARIO_D,D-T0860-4,4,T0860,T0860,wazuh_localfile_json,vulnerable-app,Denial of Service,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,22e74abf6b246781
2026-05-02T19:44:53Z,SCENARIO_D,D-T0809-5,5,T0809,T0809,wazuh_localfile_json,mosquitto,Unauthorized Command Message,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,ca53035a4921c150
2026-05-02T19:45:00Z,SCENARIO_D,D-T0814-5,5,T0814,T0814,wazuh_localfile_json,telemetry-api,Data Manipulation,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,b8fa5dfee5b4f550
2026-05-02T19:45:08Z,SCENARIO_D,D-T0860-5,5,T0860,T0860,wazuh_localfile_json,vulnerable-app,Denial of Service,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,dcb07f38f9ce43e3
2026-05-02T19:43:05Z,SCENARIO_D,D-T0809-1,1,T0809,T0809,wazuh_localfile_json,mosquitto,Unauthorized Command Message,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,cdb99df5064ba664
2026-05-02T19:43:11Z,SCENARIO_D,D-T0814-1,1,T0814,T0814,wazuh_localfile_json,telemetry-api,Data Manipulation,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,85837900c4293016
2026-05-02T19:43:18Z,SCENARIO_D,D-T0860-1,1,T0860,T0860,wazuh_localfile_json,vulnerable-app,Denial of Service,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,4c17fe5d36922e60
2026-05-02T19:43:31Z,SCENARIO_D,D-T0809-2,2,T0809,T0809,wazuh_localfile_json,mosquitto,Unauthorized Command Message,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,20627d99d47deb49
2026-05-02T19:43:38Z,SCENARIO_D,D-T0814-2,2,T0814,T0814,wazuh_localfile_json,telemetry-api,Data Manipulation,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,230280f822a51297
2026-05-02T19:43:44Z,SCENARIO_D,D-T0860-2,2,T0860,T0860,wazuh_localfile_json,vulnerable-app,Denial of Service,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,00ca9f4f9f6b2d42
2026-05-02T19:43:58Z,SCENARIO_D,D-T0809-3,3,T0809,T0809,wazuh_localfile_json,mosquitto,Unauthorized Command Message,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,da4d4f0bf1bcaa70
2026-05-02T19:44:05Z,SCENARIO_D,D-T0814-3,3,T0814,T0814,wazuh_localfile_json,telemetry-api,Data Manipulation,security,wazuh_detection_event,1,event,,,,,wazuh_security_events,results/raw/scenario_d/wazuh_security_events.csv,39c9582455db39ad
